dataset,size,algorithm,time_ms,comparisons
nearly_sorted,100,msd_radix_noswitch,0.05044,0
nearly_sorted,100,msd_radix_withswitch,0.01882,32
nearly_sorted,100,standard_mergesort,0.02188,531
nearly_sorted,100,standard_quicksort,0.02208,641
nearly_sorted,100,ternary_quicksort,0.0167,129
random,100,msd_radix_noswitch,0.0479,0
random,100,msd_radix_withswitch,0.01916,36
random,100,standard_mergesort,0.0293,652
random,100,standard_quicksort,0.03044,797
random,100,ternary_quicksort,0.01334,127
reversed,100,msd_radix_noswitch,0.0491,0
reversed,100,msd_radix_withswitch,0.01902,35
reversed,100,standard_mergesort,0.02254,314
reversed,100,standard_quicksort,0.01938,525
reversed,100,ternary_quicksort,0.0388,139
nearly_sorted,200,msd_radix_noswitch,0.09954,0
nearly_sorted,200,msd_radix_withswitch,0.03448,76
nearly_sorted,200,standard_mergesort,0.04896,1376
nearly_sorted,200,standard_quicksort,0.05034,1516
nearly_sorted,200,ternary_quicksort,0.04026,306
random,200,msd_radix_noswitch,0.09684,0
random,200,msd_radix_withswitch,0.03386,60
random,200,standard_mergesort,0.061,1607
random,200,standard_quicksort,0.0699,1841
random,200,ternary_quicksort,0.03046,299
reversed,200,msd_radix_noswitch,0.09856,0
reversed,200,msd_radix_withswitch,0.03642,86
reversed,200,standard_mergesort,0.0441,779
reversed,200,standard_quicksort,0.04296,1240
reversed,200,ternary_quicksort,0.09492,309
nearly_sorted,300,msd_radix_noswitch,0.13922,0
nearly_sorted,300,msd_radix_withswitch,0.05106,113
nearly_sorted,300,standard_mergesort,0.08264,2333
nearly_sorted,300,standard_quicksort,0.0861,2670
nearly_sorted,300,ternary_quicksort,0.08042,483
random,300,msd_radix_noswitch,0.13568,0
random,300,msd_radix_withswitch,0.04866,95
random,300,standard_mergesort,0.10606,2758
random,300,standard_quicksort,0.11338,2958
random,300,ternary_quicksort,0.05116,479
reversed,300,msd_radix_noswitch,0.13118,0
reversed,300,msd_radix_withswitch,0.05042,126
reversed,300,standard_mergesort,0.06962,1300
reversed,300,standard_quicksort,0.07446,2170
reversed,300,ternary_quicksort,0.14882,486
nearly_sorted,400,msd_radix_noswitch,0.16612,0
nearly_sorted,400,msd_radix_withswitch,0.064,151
nearly_sorted,400,standard_mergesort,0.11682,3331
nearly_sorted,400,standard_quicksort,0.126,3714
nearly_sorted,400,ternary_quicksort,0.10826,666
random,400,msd_radix_noswitch,0.16712,0
random,400,msd_radix_withswitch,0.06362,152
random,400,standard_mergesort,0.1425,3913
random,400,standard_quicksort,0.17878,4230
random,400,ternary_quicksort,0.06664,664
reversed,400,msd_radix_noswitch,0.16376,0
reversed,400,msd_radix_withswitch,0.06298,154
reversed,400,standard_mergesort,0.09676,1894
reversed,400,standard_quicksort,0.10098,2870
reversed,400,ternary_quicksort,0.20208,674
nearly_sorted,500,msd_radix_noswitch,0.19742,0
nearly_sorted,500,msd_radix_withswitch,0.07628,192
nearly_sorted,500,standard_mergesort,0.1503,4655
nearly_sorted,500,standard_quicksort,0.15406,4547
nearly_sorted,500,ternary_quicksort,0.14436,848
random,500,msd_radix_noswitch,0.19842,0
random,500,msd_radix_withswitch,0.07924,222
random,500,standard_mergesort,0.18474,5390
random,500,standard_quicksort,0.2113,5338
random,500,ternary_quicksort,0.08246,838
reversed,500,msd_radix_noswitch,0.20344,0
reversed,500,msd_radix_withswitch,0.07722,204
reversed,500,standard_mergesort,0.1244,2501
reversed,500,standard_quicksort,0.11856,3570
reversed,500,ternary_quicksort,0.26254,870
nearly_sorted,600,msd_radix_noswitch,0.24194,0
nearly_sorted,600,msd_radix_withswitch,0.09196,245
nearly_sorted,600,standard_mergesort,0.17848,5736
nearly_sorted,600,standard_quicksort,0.19316,6022
nearly_sorted,600,ternary_quicksort,0.1817,1036
random,600,msd_radix_noswitch,0.23432,0
random,600,msd_radix_withswitch,0.09334,275
random,600,standard_mergesort,0.22232,6576
random,600,standard_quicksort,0.26718,6642
random,600,ternary_quicksort,0.10738,1021
reversed,600,msd_radix_noswitch,0.23214,0
reversed,600,msd_radix_withswitch,0.10654,247
reversed,600,standard_mergesort,0.14694,3140
reversed,600,standard_quicksort,0.17118,4935
reversed,600,ternary_quicksort,0.32664,1069
nearly_sorted,700,msd_radix_noswitch,0.27324,0
nearly_sorted,700,msd_radix_withswitch,0.10722,263
nearly_sorted,700,standard_mergesort,0.22044,6857
nearly_sorted,700,standard_quicksort,0.23598,7367
nearly_sorted,700,ternary_quicksort,0.22584,1231
random,700,msd_radix_noswitch,0.31802,0
random,700,msd_radix_withswitch,0.11144,252
random,700,standard_mergesort,0.37866,7945
random,700,standard_quicksort,0.31892,7824
random,700,ternary_quicksort,0.13162,1205
reversed,700,msd_radix_noswitch,0.26438,0
reversed,700,msd_radix_withswitch,0.10134,283
reversed,700,standard_mergesort,0.18306,3822
reversed,700,standard_quicksort,0.19218,5735
reversed,700,ternary_quicksort,0.38476,1279
nearly_sorted,800,msd_radix_noswitch,0.3524,0
nearly_sorted,800,msd_radix_withswitch,0.13242,315
nearly_sorted,800,standard_mergesort,0.26048,8138
nearly_sorted,800,standard_quicksort,0.27132,8384
nearly_sorted,800,ternary_quicksort,0.25574,1412
random,800,msd_radix_noswitch,0.30398,0
random,800,msd_radix_withswitch,0.12384,298
random,800,standard_mergesort,0.30958,9313
random,800,standard_quicksort,0.37546,9125
random,800,ternary_quicksort,0.14934,1388
reversed,800,msd_radix_noswitch,0.30424,0
reversed,800,msd_radix_withswitch,0.12,314
reversed,800,standard_mergesort,0.20234,4547
reversed,800,standard_quicksort,0.21576,6535
reversed,800,ternary_quicksort,0.4485,1480
nearly_sorted,900,msd_radix_noswitch,0.35302,0
nearly_sorted,900,msd_radix_withswitch,0.123,333
nearly_sorted,900,standard_mergesort,0.3323,10096
nearly_sorted,900,standard_quicksort,0.30412,9545
nearly_sorted,900,ternary_quicksort,0.33778,1620
random,900,msd_radix_noswitch,0.35158,0
random,900,msd_radix_withswitch,0.1375,359
random,900,standard_mergesort,0.39586,11391
random,900,standard_quicksort,0.43308,10439
random,900,ternary_quicksort,0.16854,1572
reversed,900,msd_radix_noswitch,0.34364,0
reversed,900,msd_radix_withswitch,0.13736,342
reversed,900,standard_mergesort,0.24518,5378
reversed,900,standard_quicksort,0.23724,7335
reversed,900,ternary_quicksort,0.50476,1710
nearly_sorted,1000,msd_radix_noswitch,0.41222,0
nearly_sorted,1000,msd_radix_withswitch,0.14704,403
nearly_sorted,1000,standard_mergesort,0.35524,11132
nearly_sorted,1000,standard_quicksort,0.33516,10650
nearly_sorted,1000,ternary_quicksort,0.41786,1809
random,1000,msd_radix_noswitch,0.39744,0
random,1000,msd_radix_withswitch,0.1494,395
random,1000,standard_mergesort,0.4295,12723
random,1000,standard_quicksort,0.47034,11857
random,1000,ternary_quicksort,0.18982,1783
reversed,1000,msd_radix_noswitch,0.39308,0
reversed,1000,msd_radix_withswitch,0.14808,381
reversed,1000,standard_mergesort,0.26828,6015
reversed,1000,standard_quicksort,0.27136,8135
reversed,1000,ternary_quicksort,0.57642,1915
nearly_sorted,1100,msd_radix_noswitch,0.4256,0
nearly_sorted,1100,msd_radix_withswitch,0.15294,437
nearly_sorted,1100,standard_mergesort,0.3839,12442
nearly_sorted,1100,standard_quicksort,0.3862,12227
nearly_sorted,1100,ternary_quicksort,0.35942,2017
random,1100,msd_radix_noswitch,0.44336,0
random,1100,msd_radix_withswitch,0.14926,395
random,1100,standard_mergesort,0.46868,14079
random,1100,standard_quicksort,0.54066,13518
random,1100,ternary_quicksort,0.21516,1978
reversed,1100,msd_radix_noswitch,0.4236,0
reversed,1100,msd_radix_withswitch,0.15158,429
reversed,1100,standard_mergesort,0.31334,6708
reversed,1100,standard_quicksort,0.33996,10165
reversed,1100,ternary_quicksort,0.61992,2122
nearly_sorted,1200,msd_radix_noswitch,0.48318,0
nearly_sorted,1200,msd_radix_withswitch,0.16298,459
nearly_sorted,1200,standard_mergesort,0.4142,13557
nearly_sorted,1200,standard_quicksort,0.4354,13672
nearly_sorted,1200,ternary_quicksort,0.47702,2218
random,1200,msd_radix_noswitch,0.51434,0
random,1200,msd_radix_withswitch,0.17028,419
random,1200,standard_mergesort,0.5257,15521
random,1200,standard_quicksort,0.58846,14781
random,1200,ternary_quicksort,0.2369,2161
reversed,1200,msd_radix_noswitch,0.47214,0
reversed,1200,msd_radix_withswitch,0.17762,466
reversed,1200,standard_mergesort,0.33472,7444
reversed,1200,standard_quicksort,0.37144,11065
reversed,1200,ternary_quicksort,0.71346,2334
nearly_sorted,1300,msd_radix_noswitch,0.59896,0
nearly_sorted,1300,msd_radix_withswitch,0.1817,504
nearly_sorted,1300,standard_mergesort,0.45282,14804
nearly_sorted,1300,standard_quicksort,0.47736,14784
nearly_sorted,1300,ternary_quicksort,0.47204,2433
random,1300,msd_radix_noswitch,0.55746,0
random,1300,msd_radix_withswitch,0.17564,493
random,1300,standard_mergesort,0.58106,16948
random,1300,standard_quicksort,0.6392,15998
random,1300,ternary_quicksort,0.26202,2356
reversed,1300,msd_radix_noswitch,0.51726,0
reversed,1300,msd_radix_withswitch,0.17562,510
reversed,1300,standard_mergesort,0.34748,8288
reversed,1300,standard_quicksort,0.40054,11965
reversed,1300,ternary_quicksort,0.75294,2575
nearly_sorted,1400,msd_radix_noswitch,0.5718,0
nearly_sorted,1400,msd_radix_withswitch,0.201,532
nearly_sorted,1400,standard_mergesort,0.4989,16412
nearly_sorted,1400,standard_quicksort,0.51702,16180
nearly_sorted,1400,ternary_quicksort,0.53542,2622
random,1400,msd_radix_noswitch,0.57652,0
random,1400,msd_radix_withswitch,0.20196,537
random,1400,standard_mergesort,0.6127,18699
random,1400,standard_quicksort,0.70118,17521
random,1400,ternary_quicksort,0.27482,2551
reversed,1400,msd_radix_noswitch,0.58268,0
reversed,1400,msd_radix_withswitch,0.19192,547
reversed,1400,standard_mergesort,0.39254,9086
reversed,1400,standard_quicksort,0.42012,12865
reversed,1400,ternary_quicksort,0.82906,2797
nearly_sorted,1500,msd_radix_noswitch,0.65112,0
nearly_sorted,1500,msd_radix_withswitch,0.2111,561
nearly_sorted,1500,standard_mergesort,0.53652,17794
nearly_sorted,1500,standard_quicksort,0.60404,18102
nearly_sorted,1500,ternary_quicksort,0.54942,2848
random,1500,msd_radix_noswitch,0.6298,0
random,1500,msd_radix_withswitch,0.22694,532
random,1500,standard_mergesort,0.65654,20187
random,1500,standard_quicksort,0.7537,18772
random,1500,ternary_quicksort,0.30224,2752
reversed,1500,msd_radix_noswitch,0.63994,0
reversed,1500,msd_radix_withswitch,0.21232,578
reversed,1500,standard_mergesort,0.42364,9860
reversed,1500,standard_quicksort,0.44788,13765
reversed,1500,ternary_quicksort,0.91776,3003
nearly_sorted,1600,msd_radix_noswitch,0.69526,0
nearly_sorted,1600,msd_radix_withswitch,0.2229,644
nearly_sorted,1600,standard_mergesort,0.56952,19241
nearly_sorted,1600,standard_quicksort,0.59986,19001
nearly_sorted,1600,ternary_quicksort,0.6071,3050
random,1600,msd_radix_noswitch,0.68918,0
random,1600,msd_radix_withswitch,0.21982,599
random,1600,standard_mergesort,0.72348,21795
random,1600,standard_quicksort,0.82562,20363
random,1600,ternary_quicksort,0.32432,2967
reversed,1600,msd_radix_noswitch,0.65906,0
reversed,1600,msd_radix_withswitch,0.23732,607
reversed,1600,standard_mergesort,0.45132,10769
reversed,1600,standard_quicksort,0.47936,14665
reversed,1600,ternary_quicksort,1.06392,3236
nearly_sorted,1700,msd_radix_noswitch,0.72768,0
nearly_sorted,1700,msd_radix_withswitch,0.22314,648
nearly_sorted,1700,standard_mergesort,0.61628,20634
nearly_sorted,1700,standard_quicksort,0.66956,20519
nearly_sorted,1700,ternary_quicksort,0.7023,3258
random,1700,msd_radix_noswitch,0.74066,0
random,1700,msd_radix_withswitch,0.24832,820
random,1700,standard_mergesort,0.79402,23318
random,1700,standard_quicksort,0.87822,21643
random,1700,ternary_quicksort,0.34978,3171
reversed,1700,msd_radix_noswitch,0.71412,0
reversed,1700,msd_radix_withswitch,0.25784,622
reversed,1700,standard_mergesort,0.48274,11652
reversed,1700,standard_quicksort,0.51462,15565
reversed,1700,ternary_quicksort,1.02842,3447
nearly_sorted,1800,msd_radix_noswitch,0.7869,0
nearly_sorted,1800,msd_radix_withswitch,0.24652,696
nearly_sorted,1800,standard_mergesort,0.68806,23870
nearly_sorted,1800,standard_quicksort,0.67234,20832
nearly_sorted,1800,ternary_quicksort,0.62778,3462
random,1800,msd_radix_noswitch,0.82958,0
random,1800,msd_radix_withswitch,0.25994,646
random,1800,standard_mergesort,0.88864,26328
random,1800,standard_quicksort,0.96154,23684
random,1800,ternary_quicksort,0.40714,3361
reversed,1800,msd_radix_noswitch,0.78276,0
reversed,1800,msd_radix_withswitch,0.23418,727
reversed,1800,standard_mergesort,0.52172,12593
reversed,1800,standard_quicksort,0.5552,16465
reversed,1800,ternary_quicksort,1.10918,3690
nearly_sorted,1900,msd_radix_noswitch,0.84598,0
nearly_sorted,1900,msd_radix_withswitch,0.29218,751
nearly_sorted,1900,standard_mergesort,0.75594,25113
nearly_sorted,1900,standard_quicksort,0.74648,22857
nearly_sorted,1900,ternary_quicksort,0.78192,3687
random,1900,msd_radix_noswitch,0.86238,0
random,1900,msd_radix_withswitch,0.26348,807
random,1900,standard_mergesort,0.88276,28118
random,1900,standard_quicksort,0.99548,24800
random,1900,ternary_quicksort,0.41134,3590
reversed,1900,msd_radix_noswitch,0.84848,0
reversed,1900,msd_radix_withswitch,0.26416,721
reversed,1900,standard_mergesort,0.5405,13367
reversed,1900,standard_quicksort,0.56244,17365
reversed,1900,ternary_quicksort,1.18426,3915
nearly_sorted,2000,msd_radix_noswitch,0.96568,0
nearly_sorted,2000,msd_radix_withswitch,0.25648,763
nearly_sorted,2000,standard_mergesort,0.73932,26167
nearly_sorted,2000,standard_quicksort,0.77188,24030
nearly_sorted,2000,ternary_quicksort,0.8057,3896
random,2000,msd_radix_noswitch,0.91228,0
random,2000,msd_radix_withswitch,0.26096,716
random,2000,standard_mergesort,0.9257,29701
random,2000,standard_quicksort,1.06884,26295
random,2000,ternary_quicksort,0.43334,3796
reversed,2000,msd_radix_noswitch,0.94814,0
reversed,2000,msd_radix_withswitch,0.26008,783
reversed,2000,standard_mergesort,0.57766,14059
reversed,2000,standard_quicksort,0.6308,18265
reversed,2000,ternary_quicksort,1.26218,4154
nearly_sorted,2100,msd_radix_noswitch,0.9604,0
nearly_sorted,2100,msd_radix_withswitch,0.28832,790
nearly_sorted,2100,standard_mergesort,0.7817,27741
nearly_sorted,2100,standard_quicksort,0.81976,25596
nearly_sorted,2100,ternary_quicksort,0.92798,4107
random,2100,msd_radix_noswitch,0.98234,0
random,2100,msd_radix_withswitch,0.2981,772
random,2100,standard_mergesort,0.98184,31324
random,2100,standard_quicksort,1.11086,27771
random,2100,ternary_quicksort,0.43416,4021
reversed,2100,msd_radix_noswitch,0.94708,0
reversed,2100,msd_radix_withswitch,0.2979,802
reversed,2100,standard_mergesort,0.6269,14917
reversed,2100,standard_quicksort,0.67494,20150
reversed,2100,ternary_quicksort,1.44358,4379
nearly_sorted,2200,msd_radix_noswitch,1.0216,0
nearly_sorted,2200,msd_radix_withswitch,0.30488,809
nearly_sorted,2200,standard_mergesort,0.82836,29370
nearly_sorted,2200,standard_quicksort,0.85062,26501
nearly_sorted,2200,ternary_quicksort,0.88776,4318
random,2200,msd_radix_noswitch,1.01594,0
random,2200,msd_radix_withswitch,0.31954,816
random,2200,standard_mergesort,1.04054,32772
random,2200,standard_quicksort,1.20694,29526
random,2200,ternary_quicksort,0.47518,4224
reversed,2200,msd_radix_noswitch,1.02526,0
reversed,2200,msd_radix_withswitch,0.30746,867
reversed,2200,standard_mergesort,0.64028,15772
reversed,2200,standard_quicksort,0.7329,22520
reversed,2200,ternary_quicksort,1.38842,4606
nearly_sorted,2300,msd_radix_noswitch,1.07858,0
nearly_sorted,2300,msd_radix_withswitch,0.31688,856
nearly_sorted,2300,standard_mergesort,0.87206,31047
nearly_sorted,2300,standard_quicksort,1.1149,27998
nearly_sorted,2300,ternary_quicksort,1.1332,4555
random,2300,msd_radix_noswitch,1.06018,0
random,2300,msd_radix_withswitch,0.3206,825
random,2300,standard_mergesort,1.09748,34626
random,2300,standard_quicksort,1.25004,31350
random,2300,ternary_quicksort,0.52276,4437
reversed,2300,msd_radix_noswitch,1.06986,0
reversed,2300,msd_radix_withswitch,0.31468,910
reversed,2300,standard_mergesort,0.65296,16582
reversed,2300,standard_quicksort,0.77458,23520
reversed,2300,ternary_quicksort,1.49468,4869
nearly_sorted,2400,msd_radix_noswitch,1.151,0
nearly_sorted,2400,msd_radix_withswitch,0.33154,884
nearly_sorted,2400,standard_mergesort,0.89122,32187
nearly_sorted,2400,standard_quicksort,0.95508,30224
nearly_sorted,2400,ternary_quicksort,0.93004,4795
random,2400,msd_radix_noswitch,1.1584,0
random,2400,msd_radix_withswitch,0.34124,1051
random,2400,standard_mergesort,1.11306,36134
random,2400,standard_quicksort,1.29726,32135
random,2400,ternary_quicksort,0.51876,4641
reversed,2400,msd_radix_noswitch,1.12014,0
reversed,2400,msd_radix_withswitch,0.32636,935
reversed,2400,standard_mergesort,0.68702,17488
reversed,2400,standard_quicksort,0.80456,24520
reversed,2400,ternary_quicksort,1.55636,5078
nearly_sorted,2500,msd_radix_noswitch,1.19562,0
nearly_sorted,2500,msd_radix_withswitch,0.33282,953
nearly_sorted,2500,standard_mergesort,0.9457,33741
nearly_sorted,2500,standard_quicksort,1.01098,31749
nearly_sorted,2500,ternary_quicksort,0.98036,5020
random,2500,msd_radix_noswitch,1.20688,0
random,2500,msd_radix_withswitch,0.35334,886
random,2500,standard_mergesort,1.16198,37764
random,2500,standard_quicksort,1.36784,33522
random,2500,ternary_quicksort,0.53432,4866
reversed,2500,msd_radix_noswitch,1.17614,0
reversed,2500,msd_radix_withswitch,0.34082,993
reversed,2500,standard_mergesort,0.71526,18398
reversed,2500,standard_quicksort,0.83188,25520
reversed,2500,ternary_quicksort,1.62748,5321
nearly_sorted,2600,msd_radix_noswitch,1.2714,0
nearly_sorted,2600,msd_radix_withswitch,0.35962,969
nearly_sorted,2600,standard_mergesort,0.97482,35093
nearly_sorted,2600,standard_quicksort,1.06012,32820
nearly_sorted,2600,ternary_quicksort,1.15166,5213
random,2600,msd_radix_noswitch,1.32284,0
random,2600,msd_radix_withswitch,0.363,1039
random,2600,standard_mergesort,1.21808,39350
random,2600,standard_quicksort,1.44138,35586
random,2600,ternary_quicksort,0.57856,5100
reversed,2600,msd_radix_noswitch,1.25364,0
reversed,2600,msd_radix_withswitch,0.35156,999
reversed,2600,standard_mergesort,0.76934,19350
reversed,2600,standard_quicksort,0.86266,26520
reversed,2600,ternary_quicksort,1.7478,5565
nearly_sorted,2700,msd_radix_noswitch,1.32832,0
nearly_sorted,2700,msd_radix_withswitch,0.3708,1020
nearly_sorted,2700,standard_mergesort,1.11042,37639
nearly_sorted,2700,standard_quicksort,1.12118,35040
nearly_sorted,2700,ternary_quicksort,1.12906,5437
random,2700,msd_radix_noswitch,1.32128,0
random,2700,msd_radix_withswitch,0.37398,930
random,2700,standard_mergesort,1.3182,41636
random,2700,standard_quicksort,1.52378,36740
random,2700,ternary_quicksort,0.61052,5325
reversed,2700,msd_radix_noswitch,1.31384,0
reversed,2700,msd_radix_withswitch,0.38092,996
reversed,2700,standard_mergesort,0.79206,20353
reversed,2700,standard_quicksort,0.91084,27520
reversed,2700,ternary_quicksort,1.82694,5802
nearly_sorted,2800,msd_radix_noswitch,1.3806,0
nearly_sorted,2800,msd_radix_withswitch,0.3758,1023
nearly_sorted,2800,standard_mergesort,1.07252,38811
nearly_sorted,2800,standard_quicksort,1.16094,36451
nearly_sorted,2800,ternary_quicksort,1.25504,5675
random,2800,msd_radix_noswitch,1.44338,0
random,2800,msd_radix_withswitch,0.41136,2251
random,2800,standard_mergesort,1.35356,43238
random,2800,standard_quicksort,1.59342,38516
random,2800,ternary_quicksort,0.63654,5557
reversed,2800,msd_radix_noswitch,1.36084,0
reversed,2800,msd_radix_withswitch,0.39128,1098
reversed,2800,standard_mergesort,0.81038,21188
reversed,2800,standard_quicksort,0.92746,28520
reversed,2800,ternary_quicksort,1.85744,6016
nearly_sorted,2900,msd_radix_noswitch,1.42978,0
nearly_sorted,2900,msd_radix_withswitch,0.403,1569
nearly_sorted,2900,standard_mergesort,1.1121,40400
nearly_sorted,2900,standard_quicksort,1.22762,38123
nearly_sorted,2900,ternary_quicksort,1.31596,5900
random,2900,msd_radix_noswitch,1.50182,0
random,2900,msd_radix_withswitch,0.40232,1199
random,2900,standard_mergesort,1.42622,44880
random,2900,standard_quicksort,1.60822,39510
random,2900,ternary_quicksort,0.63018,5765
reversed,2900,msd_radix_noswitch,1.4051,0
reversed,2900,msd_radix_withswitch,0.39072,1106
reversed,2900,standard_mergesort,0.84702,22105
reversed,2900,standard_quicksort,0.9507,29520
reversed,2900,ternary_quicksort,1.9206,6263
nearly_sorted,3000,msd_radix_noswitch,1.48164,0
nearly_sorted,3000,msd_radix_withswitch,0.41188,1125
nearly_sorted,3000,standard_mergesort,1.1815,42272
nearly_sorted,3000,standard_quicksort,1.23898,38710
nearly_sorted,3000,ternary_quicksort,1.3279,6134
random,3000,msd_radix_noswitch,1.5881,0
random,3000,msd_radix_withswitch,0.44818,1084
random,3000,standard_mergesort,1.4937,46641
random,3000,standard_quicksort,1.83636,42013
random,3000,ternary_quicksort,0.75328,5990
reversed,3000,msd_radix_noswitch,1.48438,0
reversed,3000,msd_radix_withswitch,0.40632,1161
reversed,3000,standard_mergesort,0.8819,23002
reversed,3000,standard_quicksort,0.98716,30520
reversed,3000,ternary_quicksort,2.02284,6514
